date,hits,keyword,geo,time,gprop,category,movie
2025-09-07,62,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-09-14,60,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-09-21,61,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-09-28,61,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-10-05,55,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-10-12,52,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-10-19,57,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-10-26,52,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-02,50,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-09,53,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-16,51,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-23,53,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-11-30,57,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-12-07,54,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-12-14,58,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-12-21,68,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-12-28,77,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-01-04,77,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-01-11,74,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-01-18,74,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-01-25,64,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-02-01,60,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-02-08,58,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-02-15,58,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-02-22,50,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-01,54,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-08,48,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-15,56,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-22,60,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-03-29,62,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2026-04-05,58,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-06,27,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-04-13,27,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-04-20,30,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-04-27,27,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-05-04,26,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-05-11,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-05-18,29,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-05-25,27,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-01,29,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-08,34,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-15,35,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-22,35,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-29,29,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-07-06,30,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-07-13,29,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-07-20,30,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-07-27,33,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-03,34,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-10,31,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-17,33,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-24,31,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-31,30,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-09-07,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-09-14,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-09-21,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-09-28,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-10-05,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-10-12,24,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-10-19,27,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-10-26,24,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-02,23,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-09,24,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-16,24,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-23,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-30,28,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
